
1	 	0.000100149	 	9893.76	 	0.001	 	593707	 	0	 	60	 		 	60.0083	 	get
1	 	0.000100488	 	9861.64	 	0.001	 	591782	 	0	 	60	 		 	60.0085	 	get
1	 	0.00010072	 	9841.97	 	0.001	 	590601	 	0	 	60	 		 	60.0084	 	get
2	 	0.000128536	 	15430.7	 	0.001	 	926038	 	0	 	60	 		 	60.0128	 	get
3	 	0.000153889	 	19334.8	 	0.001	 	1160400	 	0	 	60	 		 	60.0162	 	get
4	 	0.000194332	 	20455.3	 	0.001	 	1227663	 	0	 	60	 		 	60.017	 	get
5	 	0.000224922	 	22109.6	 	0.001	 	1326990	 	0	 	60	 		 	60.0188	 	get
7	 	0.000301291	 	23154.2	 	0.001	 	694825	 	0	 	30	 		 	30.0087	 	get
10	 	0.00044557	 	22389.3	 	0.001	 	671859	 	0	 	30	 		 	30.0081	 	get
12	 	0.00052762	 	22688.1	 	0.001	 	680879	 	0	 	30	 		 	30.0104	 	get
15	 	0.000686563	 	21802.9	 	0.001	 	654328	 	0	 	30	 		 	30.0111	 	get
12	 	0.000534162	 	22421	 	0.001	 	672775	 	0	 	30	 		 	30.0064	 	get
15	 	0.000713284	 	20997.5	 	0.001	 	630069	 	0	 	30	 		 	30.0068	 	get
17	 	0.000790832	 	21458.6	 	0.001	 	643981	 	0	 	30	 		 	30.0104	 	get
20	 	0.00102404	 	19504.7	 	0.001	 	585333	 	0	 	30	 		 	30.0098	 	get
25	 	0.00135029	 	18494.7	 	0.001	 	555028	 	0	 	30	 		 	30.0101	 	get


1	 	0.000107663	 	9213.28	 	0.01	 	276435	 	0	 	30	 		 	30.004	 	get
2	 	0.000133418	 	14888	 	0.01	 	446689	 	0	 	30	 		 	30.0034	 	get
3	 	0.000168482	 	17704.6	 	0.01	 	531229	 	0	 	30	 		 	30.0052	 	get
4	 	0.00020478	 	19438	 	0.01	 	583229	 	0	 	30	 		 	30.0046	 	get
5	 	0.000245764	 	20263.7	 	0.01	 	608023	 	0	 	30	 		 	30.0055	 	get
7	 	0.00034014	 	20512.4	 	0.01	 	615482	 	0	 	30	 		 	30.0054	 	get
10	 	0.000477249	 	20907.1	 	0.01	 	627337	 	0	 	30	 		 	30.0059	 	get
12	 	0.000597426	 	20051.8	 	0.01	 	601670	 	0	 	30	 		 	30.0058	 	get
15	 	0.000811964	 	18448.9	 	0.01	 	553576	 	0	 	30	 		 	30.0059	 	get
17	 	0.000961652	 	17658.1	 	0.01	 	529836	 	0	 	30	 		 	30.0053	 	get
