1	 	0.000182198	 	5456.8	 	0.001	 	327433	 	0	 	60	 		 	60.0046	 	get
2	 	0.000223169	 	8926.36	 	0.001	 	535652	 	0	 	60	 		 	60.0079	 	get
4	 	0.000409494	 	9747.15	 	0.001	 	584913	 	0	 	60	 		 	60.0086	 	get
5	 	0.00050591	 	9866.82	 	0.001	 	592100	 	0	 	60	 		 	60.0092	 	get
7	 	0.000705749	 	9905.73	 	0.001	 	594434	 	0	 	60	 		 	60.0091	 	get
10	 	0.00101471	 	9845.66	 	0.001	 	590831	 	0	 	60	 		 	60.0093	 	get
15	 	0.0015122	 	9912.85	 	0.001	 	594868	 	0	 	60	 		 	60.0098	 	get
17	 	0.0017106	 	9932.58	 	0.001	 	596051	 	0	 	60	 		 	60.0097	 	get
20	 	0.00202248	 	9883.98	 	0.001	 	593137	 	0	 	60	 		 	60.01	 	get
25	 	0.00255252	 	9790.16	 	0.001	 	587509	 	0	 	60	 		 	60.0102	 	get




1	 	0.000174041	 	5717.91	 	0.01	 	343103	 	0	 	60	 		 	60.005	 	get
2	 	0.000214081	 	9305.24	 	0.01	 	558389	 	0	 	60	 		 	60.008	 	get
3	 	0.000304874	 	9811.09	 	0.01	 	588752	 	0	 	60	 		 	60.0088	 	get
4	 	0.000402609	 	9913.03	 	0.01	 	594871	 	0	 	60	 		 	60.009	 	get
5	 	0.000500417	 	9973.76	 	0.01	 	598518	 	0	 	60	 		 	60.0093	 	get
7	 	0.000705427	 	9910.27	 	0.01	 	594706	 	0	 	60	 		 	60.009	 	get
10	 	0.00101438	 	9848.9	 	0.01	 	591026	 	0	 	60	 		 	60.0094	 	get
12	 	0.00122306	 	9803.74	 	0.01	 	588319	 	0	 	60	 		 	60.0097	 	get
15	 	0.00153169	 	9786.73	 	0.01	 	587298	 	0	 	60	 		 	60.0096	 	get
17	 	0.00170506	 	9964.47	 	0.01	 	597969	 	0	 	60	 		 	60.0101	 	get
20	 	0.00204167	 	9790.89	 	0.01	 	587548	 	0	 	60	 		 	60.0097	 	get



1	 	0.000255872	 	3894.08	 	0.1	 	233658	 	0	 	60	 		 	60.0034	 	get
2	 	0.000368051	 	5418.22	 	0.1	 	325119	 	0	 	60	 		 	60.0048	 	get
3	 	0.00034709	 	8619.99	 	0.1	 	517268	 	0	 	60	 		 	60.008	 	get
4	 	0.000492069	 	8112.2	 	0.1	 	486793	 	0	 	60	 		 	60.0075	 	get
5	 	0.000576353	 	8660.74	 	0.1	 	519714	 	0	 	60	 		 	60.008	 	get
4	 	0.000485728	 	8219.56	 	0.1	 	493236	 	0	 	60	 		 	60.0076	 	get
7	 	0.00076403	 	9150.69	 	0.1	 	549121	 	0	 	60	 		 	60.0087	 	get
10	 	0.00101887	 	9804.96	 	0.1	 	588392	 	0	 	60	 		 	60.0096	 	get
12	 	0.00122292	 	9804.16	 	0.1	 	588346	 	0	 	60	 		 	60.0098	 	get
